n,inicio_s,fin_s,duracion_s,inicio_tc,fotograma,movimiento,n_frases,corte,detectado_por
1,0.000,0.634,0.634,00:00,frames/plano-001.jpg,fijo,0,,inicio
2,0.634,8.250,7.616,00:01,frames/plano-002.jpg,fijo,0,en pausa,fundido
3,8.250,12.250,4.000,00:08,frames/plano-003.jpg,movimiento interno,0,en pausa,encadenado
4,12.250,16.250,4.000,00:12,frames/plano-004.jpg,fijo,0,en pausa,encadenado
5,16.250,17.251,1.001,00:16,frames/plano-005.jpg,fijo,0,en pausa,encadenado
6,17.251,22.089,4.838,00:17,frames/plano-006.jpg,movimiento interno,0,en pausa,fundido
7,22.089,26.827,4.738,00:22,frames/plano-007.jpg,movimiento interno,1,en pausa,ambos
8,26.827,30.464,3.637,00:27,frames/plano-008.jpg,fijo,1,a mitad de frase,ambos
9,30.464,33.467,3.003,00:30,frames/plano-009.jpg,movimiento interno,1,en el punto,ambos
10,33.467,42.142,8.675,00:33,frames/plano-010.jpg,movimiento interno,0,en pausa,ambos
11,42.142,46.480,4.338,00:42,frames/plano-011.jpg,fijo,1,a mitad de frase,ffmpeg
12,46.480,48.515,2.035,00:46,frames/plano-012.jpg,movimiento interno,1,a mitad de frase,ffmpeg
13,48.515,55.422,6.907,00:49,frames/plano-013.jpg,fijo,1,a mitad de frase,ffmpeg
14,55.422,58.158,2.736,00:55,frames/plano-014.jpg,fijo,0,a mitad de frase,ffmpeg
15,58.158,60.794,2.636,00:58,frames/plano-015.jpg,movimiento interno,0,en pausa,ffmpeg
16,60.794,67.367,6.573,01:01,frames/plano-016.jpg,con movimiento,1,en pausa,ambos
17,67.367,70.203,2.836,01:07,frames/plano-017.jpg,fijo,1,a mitad de frase,ambos
18,70.203,72.372,2.169,01:10,frames/plano-018.jpg,movimiento interno,0,a mitad de frase,ffmpeg
19,72.372,73.206,0.834,01:12,frames/plano-019.jpg,fijo,0,en pausa,fundido
20,73.206,74.500,1.294,01:13,frames/plano-020.jpg,movimiento interno,0,en pausa,fundido
21,74.500,96.129,21.629,01:14,frames/plano-021.jpg,movimiento interno,4,en pausa,encadenado
22,96.129,103.203,7.074,01:36,frames/plano-022.jpg,movimiento interno,1,a mitad de frase,ambos
23,103.203,106.573,3.370,01:43,frames/plano-023.jpg,movimiento interno,1,a mitad de frase,ambos
24,106.573,111.044,4.471,01:47,frames/plano-024.jpg,con movimiento,0,a mitad de frase,ambos
25,111.044,117.084,6.039,01:51,frames/plano-025.jpg,movimiento interno,3,en pausa,ambos
26,117.084,122.189,5.105,01:57,frames/plano-026.jpg,fijo,1,en pausa,ambos
27,122.189,125.258,3.070,02:02,frames/plano-027.jpg,movimiento interno,1,a mitad de frase,ambos
28,125.258,126.727,1.468,02:05,frames/plano-028.jpg,fijo,0,en pausa,fundido
29,126.727,131.231,4.504,02:07,frames/plano-029.jpg,movimiento interno,1,en pausa,fundido
30,131.231,135.369,4.137,02:11,frames/plano-030.jpg,movimiento interno,1,a mitad de frase,ffmpeg
31,135.369,138.038,2.669,02:15,frames/plano-031.jpg,movimiento interno,0,a mitad de frase,ambos
32,138.038,140.440,2.402,02:18,frames/plano-032.jpg,fijo,1,en pausa,ambos
